student_id,name,age,session_date,attendance
S001,Ana,14,02/03/2026,absent
S002,Bruno,15,2026-03-03,present
S003,Carla,14,2026-03-04,present
S004,Diego,15,05/03/2026,present
S005,Elena,15,2026-03-06,present
S006,Farid,15,2026-03-02,present
S007,Gema,14,03/03/2026,present
S008,Hugo,,2026-03-04,present
S009,Iris,15,2026-03-05,present
S010,Jon,14,06/03/2026,present
S011,Kira,13,2026-03-02,present
S012,Luis,14,2026-03-03,present
S013,Marta,15,04/03/2026,present
S014,Nuria,14,2026-03-05,absent
S015,Omar,13,2026-03-06,absent
S016,Paula,15,02/03/2026,present
S017,Quim,13,2026-03-03,present
S018,Rosa,13,2026-03-04,absent
S019,Sami,13,05/03/2026,present
S020,Tomas,999,2026-03-06,present
S021,Ute,14,2026-03-02,present
S022,Vera,14,03/03/2026,absent
S023,Wes,15,2026-03-04,present
S024,Xime,13,2026-03-05,absent
S025,Yago,14,06/03/2026,absent
S026,Zoe,15,2026-03-02,present
S027,Alba,14,2026-03-03,present
S028,Beto,14,04/03/2026,absent
S029,Cira,14,2026-03-05,present
S030,Dani,15,2026-03-06,present
S031,Eva,13,02/03/2026,absent
S032,Fede,13,2026-03-03,present
S033,Gala,15,2026-03-04,present
S034,Hera,15,05/03/2026,absent
S035,Ivan,14,2026-03-06,present
S036,Juno,14,2026-03-02,present
S005,Elena,15,2026-03-06,present
